23 Jun 2016 01:19:00 : LimitlessMc , Nalk Xulk Uk Eht#7098 , bet
23 Jun 2016 01:20:33 : LimitlessMc , Wertfuzzy77#0274 , gj, took you long enough
23 Jun 2016 01:20:36 : LimitlessMc , Wertfuzzy77#0274 , !help ev
23 Jun 2016 01:20:36 : LimitlessMc , Botfuzzy77#2926 , ```
!ev [playerInput...]

Returns Best Pokemon to Find Certain EVs 
Inputs are 'HP', 'SPD', 'DEF', 'SP.DEF', 'ATT', 'SP.ATT'
Or you can do !ev [pokemon] to get the EV drops for a certain pokemon

```
23 Jun 2016 01:20:37 : LimitlessMc , Gerald#7099 , 
Hello, I am Gerald, the channel Bot. I can do many things, I can even be extended by plugins (weehee).

Current commands: (note that arguments in <> are required, those in [] not)
  - !clean  : lets me purge messages, options below
    - !clean lets me purge the last 50 messages
    - !clean <number> does the same for n messages (no maximum :P)
    - !clean infinite removes messages until !kill, even the end of the channel doesn't seem like the limit
    - !clean images deletes any message containing either a link to a jpg, !meme or an attachment
    - !clean <string> removes every message containing the string
    - !clean @someone cleans @someones messages in the last 100
  - <@158641216311787520> (<@!158641216311787520>)  : Talk with me :)
  - !help (!info) : Prints the help
  - !kill : Kills me and lets me (hopefully) respawn instantly
  - !ping (!pong) : Ping Pong
  - !invite : Add me to your server
  - !status : Prints some overall status
  - (DM) !dropbox <secret> : Register Dropbox. Go to http://ultramc.org:8087/dropbox/authorize
  - !id <beginning of name> : Outputs their internal id
  - !serverid : Prints this server's id
  - !channelid : Let me output the id of thid channel
  - !roleids : Lists all roles with their ids
  - !mention <role name> : Mentions everyone in that role
  - !permissions <username> : Lists all permissions the spefific user has in this channel
  - !meme <text you wanna write> : Generate a funny image
  - !play <name> : Plays a specific song from soundcloud
  - !youtube <name> : Plays a specific song from youtube. Can also be a url
  - !twitch <name> : Streams from twitch.tv
  - !pause : Pauses playback
  - !stop : Stops playback and empties the queue
  - !queue : Prints the current queue
  - !shufflequeue : Shuffles the queue
  - !flushqueue : Empties the queue
  - !skip : Skips the current song
  - !replay : Adds the current playing song to the queue
23 Jun 2016 01:20:38 : LimitlessMc , Wertfuzzy77#0274 , ^
23 Jun 2016 01:20:38 : LimitlessMc , Gerald#7099 , 
  - !webplayer : Outputs your personal webplayer url
  - !resetsecret : Resets your webplayer secret in case you lost it
  - !stats  : Outputs which users wrote the most in this channel
  - !words  : Outputs which users wrote the most words in this channel
  - !topwords  : Sends the most common words in this channel
  - !suspicious  : NSA-like who should be tracked a bit more :)
  - !weblog  : The channel's weblog for easy search in the browser
  - !punchcard  : The channel's punchcard - when are people active in here
  - (DM) !steam Authenticates a steam user linking his steam id to the discord id (visit http://ultramc.org:8087/steam
  - (DM) !nosteam Deauthenticates a steam user and disables notifications
  - (DM) !arkserver Creates an api token for use of the ARK webalarms
  - !rate [@mention] : outputs my rating for a user
  - !luck [@mention] : outputs the luck of a user today
  - !nowelcome  : Disables the welcome message for this server
  - !dowelcome  : Enables the welcome message again

(DM) means that you have to issue this command via a direct message to me.
23 Jun 2016 01:20:41 : LimitlessMc , Wertfuzzy77#0274 , GO HOME GERALD
23 Jun 2016 01:20:53 : LimitlessMc , Wertfuzzy77#0274 , HATE U
23 Jun 2016 01:23:59 : Cipher , Topheralan#1202 , You deserved a one on one
23 Jun 2016 01:24:11 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 01:38:41 : LimitlessMc , Nalk Xulk Uk Eht#7098 , i don't
23 Jun 2016 01:38:54 : LimitlessMc , Nalk Xulk Uk Eht#7098 , 4 min and 18 sec btw
23 Jun 2016 01:55:23 : Cipher , Calamariela#4119 , 
23 Jun 2016 01:55:49 : Cipher , Calamariela#4119 , 
23 Jun 2016 01:56:01 : Cipher , Calamariela#4119 , Shelter puppy lol
23 Jun 2016 01:56:23 : Cipher , Calamariela#4119 , Lol thanks
23 Jun 2016 02:11:24 : LimitlessMc , GuardiaN#3763 , Wait
