23 Aug 2016 16:43:15 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
23 Aug 2016 16:44:04 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
23 Aug 2016 16:44:24 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
23 Aug 2016 16:48:10 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
23 Aug 2016 16:48:10 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
23 Aug 2016 16:48:10 : PassionMC, general, Botfuzzy77#2209, **Wertfuzzy77**(Nerd) is now Online!
23 Aug 2016 16:48:48 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
23 Aug 2016 16:51:12 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Online!
23 Aug 2016 16:51:24 : LimitlessMc, botchat, Akinci#5072, !meme dankest meme
23 Aug 2016 16:51:25 : LimitlessMc, botchat, Gerald#7099, http://i.imgflip.com/19dq46.jpg
23 Aug 2016 16:53:12 : PassionMC, general, Botfuzzy77#2209, **Lucario**(Owners) is now Offline!
23 Aug 2016 16:54:18 : LimitlessMc, mainchat, Dankmemes#8890, part of that speech which i was thinking but couldnt put down is what you just said. Thank you
23 Aug 2016 16:54:27 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
23 Aug 2016 16:55:20 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
23 Aug 2016 16:58:44 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Offline!
23 Aug 2016 16:58:50 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Online!
23 Aug 2016 16:59:07 : 02Gaming, general, Botfuzzy77#2209, **Sunstrikeh**(No Role) is now Online!
23 Aug 2016 16:59:07 : Temp Server, general, Botfuzzy77#2209, **Sunstrikeh**(Admin) is now Online!
23 Aug 2016 16:59:07 : My Personal Server, general, Botfuzzy77#2209, **Sunstrikeh**(Moderator) is now Online!
23 Aug 2016 16:59:32 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
23 Aug 2016 17:01:30 : My Personal Server, general, Botfuzzy77#2209, **Sunstrikeh**(Moderator) is now Offline!
23 Aug 2016 17:01:31 : Temp Server, general, Botfuzzy77#2209, **Sunstrikeh**(Admin) is now Offline!
23 Aug 2016 17:01:31 : 02Gaming, general, Botfuzzy77#2209, **Sunstrikeh**(No Role) is now Offline!
23 Aug 2016 17:01:42 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
23 Aug 2016 17:02:53 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
23 Aug 2016 17:02:53 : PassionMC, general, Botfuzzy77#2209, **Wertfuzzy77**(Nerd) is now Online!
23 Aug 2016 17:02:53 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
23 Aug 2016 17:02:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
23 Aug 2016 17:03:36 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
23 Aug 2016 17:04:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Offline!
23 Aug 2016 17:06:04 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
23 Aug 2016 17:06:04 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
23 Aug 2016 17:06:04 : PassionMC, general, Botfuzzy77#2209, **Wertfuzzy77**(Nerd) is now Online!
23 Aug 2016 17:09:33 : LimitlessMc, mainchat, Impasta Snake#1447, I don't always give someone a pokemon
23 Aug 2016 17:09:39 : LimitlessMc, mainchat, Impasta Snake#1447, only rarely
23 Aug 2016 17:10:49 : LimitlessMc, mainchat, Dankmemes#8890, i have so many dupes
23 Aug 2016 17:10:55 : LimitlessMc, mainchat, Dankmemes#8890, so its easy for me
23 Aug 2016 17:13:12 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
23 Aug 2016 17:13:15 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
23 Aug 2016 17:13:41 : LimitlessMc, mainchat, depthy#3405, >.>
23 Aug 2016 17:13:48 : LimitlessMc, mainchat, depthy#3405, dupes are buggy tho and may vanish
23 Aug 2016 17:13:49 : LimitlessMc, mainchat, depthy#3405, lol
23 Aug 2016 17:16:54 : LimitlessMc, mainchat, DerpyGamer112#6000, i put down 2 pokeblocks things
23 Aug 2016 17:16:58 : LimitlessMc, mainchat, DerpyGamer112#6000, xD
23 Aug 2016 17:17:21 : LimitlessMc, mainchat, DerpyGamer112#6000, and 2 level 80s inside them
23 Aug 2016 17:18:02 : LimitlessMc, mainchat, DerpyGamer112#6000, pokegift
23 Aug 2016 17:18:40 : LimitlessMc, mainchat, Resolate#7058, Server crash or my shit internet?
23 Aug 2016 17:18:42 : LimitlessMc, mainchat, DerpyGamer112#6000, i was gonna say the coords
23 Aug 2016 17:18:45 : LimitlessMc, mainchat, DerpyGamer112#6000, and let ppl get thm
23 Aug 2016 17:18:47 : LimitlessMc, mainchat, DerpyGamer112#6000, server
23 Aug 2016 17:18:50 : LimitlessMc, mainchat, DerpyGamer112#6000, chrash
23 Aug 2016 17:19:41 : LimitlessMc, mainchat, Resolate#7058, I miss the old days when there were less players
23 Aug 2016 17:19:46 : LimitlessMc, mainchat, DerpyGamer112#6000, xd
23 Aug 2016 17:20:00 : LimitlessMc, mainchat, DerpyGamer112#6000, not even a yter that advertised it
23 Aug 2016 17:20:01 : Penguins, general, Survivra#7191, ;sever
23 Aug 2016 17:20:05 : Penguins, general, Survivra#7191, ;server
23 Aug 2016 17:20:08 : Penguins, general, Botfuzzy77#2209, *Server is Down :(*
23 Aug 2016 17:20:19 : LimitlessMc, mainchat, DerpyGamer112#6000, how do you do that one
23 Aug 2016 17:20:21 : LimitlessMc, mainchat, DerpyGamer112#6000, (:
23 Aug 2016 17:20:25 : LimitlessMc, mainchat, DerpyGamer112#6000, Xd
23 Aug 2016 17:20:27 : LimitlessMc, mainchat, DerpyGamer112#6000, xd
23 Aug 2016 17:20:41 : LimitlessMc, mainchat, Resolate#7058, Click the button at the side --->
23 Aug 2016 17:20:47 : LimitlessMc, mainchat, DerpyGamer112#6000, ?
23 Aug 2016 17:20:48 : LimitlessMc, mainchat, DerpyGamer112#6000, oh
23 Aug 2016 17:20:49 : LimitlessMc, mainchat, DerpyGamer112#6000, that
23 Aug 2016 17:20:55 : LimitlessMc, mainchat, Resolate#7058, lol
23 Aug 2016 17:20:59 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Offline!
23 Aug 2016 17:21:05 : PassionMC, general, Botfuzzy77#2209, **Mystz**(Owners) is now Online!
23 Aug 2016 17:21:13 : PassionMC, general, Botfuzzy77#2209, **Dudubidu**(No Role) is now Offline!
23 Aug 2016 17:21:13 : Cipher, general, Botfuzzy77#2209, **Dudubidu**(Grunt) is now Offline!
