18 Aug 2016 20:13:42 : Gang ;), general, ZyroPlayz#3967, high fuck
18 Aug 2016 20:13:43 : LimitlessMc, botchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 93 players out of 100
 *Ping*: 153.608 ms
 *MC Version*: 1.10.2
18 Aug 2016 20:13:43 : LimitlessMc, botchat, Botfuzzy77#2209, **Players Online**:
 *D3ADLEG3ND, jorge75, matthew52305, littlekolgrc, xGenesect, MrApekatt, CaptinSexy1234, twigman13, Topheralan, PokezCraftFTW, Wertfuzzy77, ccClarity...*
18 Aug 2016 20:13:45 : Gang ;), general, Survivra#7191, I like Iris, Dawn and Misty
18 Aug 2016 20:13:51 : Gang ;), general, Survivra#7191, i fcking hate may, serena
18 Aug 2016 20:13:52 : Gang ;), general, ZyroPlayz#3967, misty is shit
18 Aug 2016 20:14:00 : Gang ;), general, Survivra#7191, lmao
18 Aug 2016 20:14:10 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 should Jesus get unban?
18 Aug 2016 20:14:11 : LimitlessMc, botchat, Botfuzzy77#2209, It's not, that was a lie...
18 Aug 2016 20:14:13 : Gang ;), general, ZyroPlayz#3967, id even rather iris then misty
