20 Jul 2016 03:55:08 : Cipher, general, Kburn1999#5526, or something like this since its just a picture
20 Jul 2016 03:55:52 : Cipher, general, Skyd#9935, My second gym kinda looks like that 
20 Jul 2016 03:56:04 : Cipher, general, Kburn1999#5526, which one is that
20 Jul 2016 03:56:11 : Cipher, general, Skyd#9935, Actually that's what I based it off 
20 Jul 2016 03:56:22 : Cipher, general, Skyd#9935, I don't think you've seen it yet 
20 Jul 2016 03:56:26 : Cipher, general, Kburn1999#5526, nope
20 Jul 2016 03:56:55 : Cipher, general, Skyd#9935, I'll show ya 
20 Jul 2016 03:57:01 : Cipher, general, Kburn1999#5526, k
20 Jul 2016 03:57:34 : Cipher, general, Skyd#9935, It's not finished yet so no judging 
20 Jul 2016 03:57:39 : Cipher, general, Kburn1999#5526, i dont
20 Jul 2016 03:58:13 : Cipher, general, Kburn1999#5526, 
20 Jul 2016 03:58:55 : Cipher, general, Kburn1999#5526, yea has the same general look but what about this new one
20 Jul 2016 03:59:16 : Cipher, general, Skyd#9935, That's looking nice 
20 Jul 2016 03:59:22 : Cipher, general, Skyd#9935, Kinda dark tho 
20 Jul 2016 04:00:01 : Cipher, general, Skyd#9935, Gotta do trades and stuff there and have rules 
Kinda wanna make it look like a lobby you see in Pokemon games and shows 
20 Jul 2016 04:00:09 : Cipher, general, Kburn1999#5526, not again
20 Jul 2016 04:00:14 : Cipher, general, Kburn1999#5526, ;server
20 Jul 2016 04:00:16 : Cipher, general, Skyd#9935, Yeahhh 
20 Jul 2016 04:00:16 : Cipher, general, Botfuzzy77#2209, *Server is Down :(*
20 Jul 2016 04:02:04 : Cipher, general, Botfuzzy77#2209, **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
20 Jul 2016 04:02:48 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:02:49 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 9 players out of 100
 *Ping*: 155.875 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:02:49 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *leon, JordanBelford, Jash_, procrafter9987, Cpt_BaconNipple, poneykiller257, stopkeoki, TACOOOOOOOO33, beast101...*
20 Jul 2016 04:03:22 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:03:23 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
