09 May 2017 23:53:43 : LimitlessMc, botchat, AlphaBit has school till 26#3869, ;train
09 May 2017 23:53:45 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 23:53:47 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 23:53:56 : LimitlessMc, voice-junk, Third_Worm#4804, mcdonalllds
09 May 2017 23:53:56 : LimitlessMc, mainchat, AlphaBit has school till 26#3869, hep
09 May 2017 23:54:08 : LimitlessMc, mainchat, AlphaBit has school till 26#3869, how do you get data from a database table in a js file
09 May 2017 23:55:04 : LimitlessMc, voice-junk, Third_Worm#4804, dem little kids
09 May 2017 23:55:54 : LimitlessMc, mainchat, AlphaBit has school till 26#3869, hepp
09 May 2017 23:56:02 : LimitlessMc, voice-junk, Third_Worm#4804, i excel at science
09 May 2017 23:56:09 : LimitlessMc, voice-junk, Third_Worm#4804, i literally have a 103% percantage
09 May 2017 23:56:13 : LimitlessMc, voice-junk, Third_Worm#4804, *percentage
09 May 2017 23:56:16 : LimitlessMc, voice-junk, Third_Worm#4804, in science
09 May 2017 23:56:43 : LimitlessMc, voice-junk, Third_Worm#4804, tru
09 May 2017 23:57:34 : LimitlessMc, voice-junk, Third_Worm#4804, same
09 May 2017 23:58:08 : LimitlessMc, voice-junk, Third_Worm#4804, its fine
09 May 2017 23:59:04 : LimitlessMc, voice-junk, Third_Worm#4804, I can tell, get better 😛
09 May 2017 23:59:45 : LimitlessMc, voice-junk, Third_Worm#4804, same
10 May 2017 00:02:14 : LimitlessMc, voice-junk, Third_Worm#4804, @Crystal4209 Gotta go! Have a good day
10 May 2017 00:02:47 : Alone Server, bot_chat, Crystal4209#4698, ;join
10 May 2017 00:02:50 : Alone Server, bot_chat, Botfuzzy77#2209, Connected channel!
10 May 2017 00:03:09 : Alone Server, bot_chat, Crystal4209#4698, ;search pokemon battle themes
10 May 2017 00:03:16 : Alone Server, bot_chat, Botfuzzy77#2209, Added Pokemon All Wild Battle Themes OST [HD] to the queue
10 May 2017 00:03:16 : Alone Server, bot_chat, Botfuzzy77#2209, https://www.youtube.com/watch?v=sH1uHBwfRcA
10 May 2017 00:03:46 : Alone Server, bot_chat, Crystal4209#4698, ;leave
10 May 2017 00:08:06 : Pulse, game-chat, JustinOPGamer#9138, ;train
10 May 2017 00:08:06 : Pulse, game-chat, Botfuzzy77#2209, 
10 May 2017 00:08:06 : Pulse, game-chat, Botfuzzy77#2209, 
10 May 2017 00:17:32 : Shadow's Subnautica, botchat, Lastshadow#5809, ;join'
10 May 2017 00:17:43 : Shadow's Subnautica, botchat, Lastshadow#5809, ;join
10 May 2017 00:17:44 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Connected channel!
10 May 2017 00:18:48 : Shadow's Subnautica, botchat, Lastshadow#5809, ;youtube https://www.youtube.com/watch?v=z5s4VYC9xR4&t=65s
10 May 2017 00:18:49 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokémon The Origins - Battle! Champion Music (HD) to the queue
10 May 2017 00:19:19 : Shadow's Subnautica, botchat, Lastshadow#5809, ;youtube https://www.youtube.com/watch?v=GIn8_Q27WFY
10 May 2017 00:19:20 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokemon Omega Ruby/Alpha Sapphire - Battle! Zinnia Music (HQ) to the queue
10 May 2017 00:19:21 : Shadow's Subnautica, botchat, Lastshadow#5809, ;cycle
10 May 2017 00:19:21 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Cycle Mode: True
10 May 2017 00:21:41 : Shadow's Subnautica, botchat, Lastshadow#5809, ;youtube https://www.youtube.com/watch?v=H7Iy8H7cWNk
10 May 2017 00:21:59 : Shadow's Subnautica, botchat, Lastshadow#5809, ;youtube https://www.youtube.com/watch?v=IUbqOTtpmn0&index=1&list=PL9793A30C55CED7F6
10 May 2017 00:24:39 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Magikarp Festival Remix [Pokkén Tournament] to the queue
